procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 64444220 141892 1067552    0    0     0     6 29575 257148 19 11 69  0  0
11  0      0 64444528 141892 1067552    0    0     0     6 30080 261179 19 12 69  0  0
15  0      0 64444088 141892 1067552    0    0     0    13 28808 253750 18 12 70  0  0
 6  0      0 64445328 141892 1067556    0    0     0    10 30206 267518 19 12 69  0  0
 1  0      0 64446352 141892 1067556    0    0     0     9 29305 254363 19 12 70  0  0
10  0      0 64425816 141896 1067588    0    0     0     6 29454 258864 19 12 69  0  0
10  0      0 64447892 141900 1067556    0    0     0    15 29851 260759 19 12 69  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 64448840 141904 1067556    0    0     0     2 28741 253477 18 12 70  0  0
13  0      0 64447136 141904 1067556    0    0     0    13 30624 268668 20 12 69  0  0
13  0      0 64423324 141904 1067588    0    0     0    15 29525 257572 19 12 69  0  0
16  0      0 64444076 141904 1067560    0    0     0    14 29770 261780 19 12 69  0  0
12  0      0 64444368 141908 1067560    0    0     0     6 30561 268317 19 12 69  0  0
 8  0      0 64446632 141908 1067560    0    0     0    13 30278 266609 19 12 69  0  0
 9  0      0 64426528 141912 1067592    0    0     0     6 30002 264426 19 12 69  0  0
11  0      0 64447356 141912 1067560    0    0     0    15 29456 257921 19 12 70  0  0
 6  0      0 64447468 141916 1067600    0    0     0    16 30361 266019 19 12 69  0  0
